timestamp,open,high,low,close,volume
2023-12-27,598.6000,599.7900,593.7100,596.0800,1392322
2023-12-26,598.9200,601.6900,596.5000,598.2600,1595053
2023-12-22,600.8000,601.8600,596.0000,598.7500,1660631
2023-12-21,603.0000,607.4006,594.8200,600.1400,3192763
2023-12-20,600.7100,610.6800,595.0700,596.0600,2587339
2023-12-19,600.0000,612.7050,598.0800,604.6400,4117492
2023-12-18,591.5200,603.1337,586.6200,599.1300,5452047
2023-12-15,580.6000,591.6600,578.2000,584.6800,8666491
2023-12-14,593.0000,593.1600,578.3000,584.6400,11315347
2023-12-13,630.4100,632.4450,618.0301,624.2600,6188452
2023-12-12,625.8600,633.8900,623.0000,633.6600,2968858
2023-12-11,616.8800,627.8195,614.3400,625.2000,3270609
2023-12-08,605.0000,610.2300,601.3000,610.0100,2499653
2023-12-07,598.9200,609.2300,596.4700,608.7800,2605210
2023-12-06,608.0600,608.5302,594.4867,595.7000,2046433
2023-12-05,596.7700,602.7400,591.1700,602.2200,2577716
2023-12-04,604.9100,608.2900,596.2100,604.5600,2541501
2023-12-01,609.2400,615.2000,603.1800,612.4700,2490500
2023-11-30,620.0000,621.4800,605.0700,611.0100,3960309
2023-11-29,625.9400,628.6000,616.7700,617.3900,2595632
2023-11-28,613.9750,625.6000,612.2600,623.3200,2302913
2023-11-27,618.8000,625.8341,614.5700,619.2700,1854409
2023-11-24,616.2600,619.4400,613.6000,619.4300,942673
2023-11-22,616.6300,624.3800,614.0101,619.7200,2064968
2023-11-21,610.6300,615.5650,607.0301,610.9900,1906155
2023-11-20,605.3100,614.2000,604.5000,612.7000,2394373
2023-11-17,602.0700,605.0499,597.0200,602.6600,1969358
2023-11-16,595.4500,605.2700,592.1400,602.0600,2040415
2023-11-15,605.0000,605.7300,591.7900,595.3100,3088889
2023-11-14,601.5600,613.7050,599.0400,604.3300,2884917
2023-11-13,589.9800,594.2600,583.3600,590.3400,2505111
2023-11-10,580.4900,598.1350,576.0050,597.2200,3064510
2023-11-09,587.5100,590.0400,576.3400,577.7400,2336580
2023-11-08,589.0000,595.6650,581.0700,585.3100,3079173
2023-11-07,568.8100,589.0000,568.8100,585.2000,3993621
2023-11-06,566.0000,567.8800,558.1750,565.4500,2593386
2023-11-03,560.0000,567.0300,557.6600,563.6600,2066520
2023-11-02,550.4400,559.3550,550.0000,558.7100,2634829
2023-11-01,535.0000,545.2700,534.0000,544.5000,2644530
2023-10-31,530.6400,532.6350,522.8101,532.0600,2052270
2023-10-30,516.1100,530.7500,512.2400,526.9400,2806930
2023-10-27,517.5000,519.8556,506.9150,508.1200,2985560
2023-10-26,530.0000,530.9900,511.6800,514.2800,2876701
2023-10-25,533.5600,534.4600,517.6300,521.1400,2525960
2023-10-24,544.6400,546.0000,532.1200,539.5600,2358082
2023-10-23,535.8100,548.0250,531.0000,540.4100,2172607
2023-10-20,555.7400,555.9800,535.9500,540.9600,2729190
2023-10-19,560.0000,567.1000,553.4700,555.7400,2809290
2023-10-18,554.4800,568.1800,554.2400,557.8700,2614474
2023-10-17,545.4100,560.8000,543.3400,560.0900,2355261
2023-10-16,553.1800,555.5700,545.6904,550.7400,2179737
2023-10-13,560.0000,562.8900,546.9900,548.7600,2834091
2023-10-12,553.7000,574.4000,552.2300,559.6300,4624024
2023-10-11,538.5900,551.3400,536.1100,549.9100,3307461
2023-10-10,530.9100,537.0000,530.4000,532.7200,2090863
2023-10-09,522.0000,530.0000,518.7500,529.2900,1713470
2023-10-06,513.2200,531.3100,509.5200,526.6800,2526306
2023-10-05,519.8400,522.6050,509.2350,516.4400,1818976
2023-10-04,511.9300,519.7600,510.0001,518.4200,2027195
2023-10-03,517.5200,520.4900,504.5500,507.0300,2004074
2023-10-02,508.2400,522.4050,508.2400,521.1300,2411478
2023-09-29,505.4400,518.5800,505.4400,509.9000,2796314
2023-09-28,500.0000,508.6750,499.2500,504.6700,2720174
2023-09-27,507.5100,509.2500,498.6955,502.6000,3311103
2023-09-26,510.1400,510.1400,502.0100,506.3000,2375405
2023-09-25,511.4500,514.2450,507.2200,511.6000,2219542
2023-09-22,513.0900,518.1500,508.8300,512.9000,2702856
2023-09-21,519.4800,526.2900,513.4000,513.8800,3846952
2023-09-20,541.6900,548.8500,535.7300,535.7800,2628934
2023-09-19,531.3500,542.4000,529.4700,541.6900,2386600
2023-09-18,524.2300,533.9800,522.1800,532.4200,2650669
2023-09-15,532.1100,537.6900,523.6160,528.8900,9774477
2023-09-14,551.0900,555.1948,544.3400,552.1600,4786850
2023-09-13,557.0200,559.8500,546.4300,553.5600,3465169
2023-09-12,555.6300,559.0921,540.3700,542.2100,3961254
2023-09-11,562.0000,565.4302,556.7000,564.5000,2083293
2023-09-08,568.9000,570.2399,558.0300,560.3600,2265288
2023-09-07,554.0000,561.8300,551.0750,560.4600,2089396
2023-09-06,560.4500,564.0600,555.8500,561.9400,2299883
2023-09-05,557.8800,567.5900,555.4200,564.8800,2349719
2023-09-01,564.8000,569.9800,558.5170,563.2100,2234067
2023-08-31,547.0000,562.1000,546.7600,559.3400,3919340
2023-08-30,540.1000,546.0000,536.0900,545.3600,1930271
2023-08-29,527.7000,541.9700,526.1473,540.5700,2166979
2023-08-28,525.7000,533.5100,523.9800,529.9200,1684095
2023-08-25,514.9200,528.4300,514.4650,525.0600,2308269
2023-08-24,539.0000,539.6700,511.0500,512.4300,2950211
2023-08-23,522.7300,535.2500,519.2400,530.7100,2336856
2023-08-22,529.7150,530.0000,518.3500,519.4800,1496587
2023-08-21,510.2900,522.9800,510.2900,520.4700,2428287
2023-08-18,504.6500,510.0500,503.9000,508.1300,2140067
2023-08-17,525.0000,525.4900,510.5600,511.6700,2455834
