,timestamp,open,high,low,close,volume,symbol
0,2023-12-27,73.25,73.62,73.0365,73.54,947422,ACGL
1,2023-12-26,74.0,74.0,73.19,73.51,1158574,ACGL
2,2023-12-22,74.22,74.55,73.5,73.84,1303434,ACGL
3,2023-12-21,73.41,74.23,73.2,74.16,1781576,ACGL
4,2023-12-20,74.43,74.57,73.33,73.61,1564199,ACGL
5,2023-12-19,74.68,75.11,74.355,74.83,1953796,ACGL
6,2023-12-18,74.89,75.23,73.565,74.65,1849617,ACGL
7,2023-12-15,74.33,74.8,72.85,73.42,4577845,ACGL
8,2023-12-14,77.98,78.0,74.005,74.67,3856340,ACGL
9,2023-12-13,80.15,80.37,77.9442,78.38,2106489,ACGL
10,2023-12-12,79.77,80.785,79.5401,80.28,1372193,ACGL
11,2023-12-11,79.33,80.74,79.33,79.61,1320031,ACGL
12,2023-12-08,78.68,79.39,78.32,79.3,1372916,ACGL
13,2023-12-07,80.02,80.43,78.195,78.34,2321737,ACGL
14,2023-12-06,82.2,82.465,79.27,79.97,1797016,ACGL
15,2023-12-05,82.01,82.5,81.28,81.85,1211267,ACGL
16,2023-12-04,82.57,83.075,81.5863,81.99,1662565,ACGL
17,2023-12-01,83.7,84.525,82.54,82.63,1659888,ACGL
18,2023-11-30,82.54,83.77,82.54,83.69,3726921,ACGL
19,2023-11-29,84.11,84.3926,82.1,82.38,2218506,ACGL
20,2023-11-28,86.79,87.16,84.3931,84.45,1621127,ACGL
21,2023-11-27,86.64,87.44,86.24,87.0,1842579,ACGL
22,2023-11-24,85.92,87.145,85.92,86.6,741453,ACGL
23,2023-11-22,86.06,86.87,85.0,85.95,1807550,ACGL
24,2023-11-21,85.0,86.84,84.98,86.13,1356325,ACGL
25,2023-11-20,83.6,84.73,83.51,84.46,1762502,ACGL
26,2023-11-17,84.0,84.48,83.23,83.6,1883526,ACGL
27,2023-11-16,83.08,84.595,82.78,83.71,1932545,ACGL
28,2023-11-15,85.52,85.69,82.61,82.66,2829098,ACGL
29,2023-11-14,86.6,86.735,84.8404,85.5,1872676,ACGL
30,2023-11-13,86.16,86.975,85.88,86.57,1681182,ACGL
31,2023-11-10,85.1,86.14,84.67,85.95,2070175,ACGL
32,2023-11-09,84.15,85.22,83.96,84.67,2357571,ACGL
33,2023-11-08,85.3,85.9746,83.56,84.12,1692323,ACGL
34,2023-11-07,85.15,85.58,84.93,85.41,1647818,ACGL
35,2023-11-06,85.8,85.95,84.5,85.16,2864490,ACGL
36,2023-11-03,86.44,86.933,84.16,85.55,2658879,ACGL
37,2023-11-02,89.68,90.29,85.1,85.94,3406895,ACGL
38,2023-11-01,87.25,90.65,87.05,90.0,4031591,ACGL
39,2023-10-31,85.21,87.5,85.0,86.68,2964700,ACGL
40,2023-10-30,82.02,83.13,81.84,82.88,1741040,ACGL
41,2023-10-27,82.07,82.2,81.01,81.36,1360314,ACGL
42,2023-10-26,83.59,84.415,82.255,82.45,1735038,ACGL
43,2023-10-25,83.37,85.53,83.27,83.49,1387293,ACGL
44,2023-10-24,82.35,83.76,82.285,83.42,1334193,ACGL
45,2023-10-23,83.19,83.68,81.86,81.86,1183706,ACGL
46,2023-10-20,83.96,84.2,81.76,82.76,5433626,ACGL
47,2023-10-19,85.48,86.37,83.77,83.78,1736079,ACGL
48,2023-10-18,86.75,87.51,85.32,85.45,2029255,ACGL
49,2023-10-17,85.44,87.135,85.44,86.62,1935570,ACGL
50,2023-10-16,85.01,86.4,84.57,85.7,2134605,ACGL
51,2023-10-13,83.66,84.46,83.17,84.16,1962315,ACGL
52,2023-10-12,83.25,83.71,82.05,83.05,1608095,ACGL
53,2023-10-11,82.0,83.11,81.645,83.02,1480263,ACGL
54,2023-10-10,82.3,82.45,81.17,81.86,1526002,ACGL
55,2023-10-09,81.9,82.25,81.19,82.07,1174066,ACGL
56,2023-10-06,81.41,82.56,81.2801,82.18,1672636,ACGL
57,2023-10-05,80.89,81.81,80.7043,81.64,1680606,ACGL
58,2023-10-04,78.31,80.74,78.28,80.46,1608185,ACGL
59,2023-10-03,79.26,79.49,77.18,77.96,1631896,ACGL
60,2023-10-02,79.74,80.2,78.6516,79.37,1495876,ACGL
61,2023-09-29,81.72,81.81,79.47,79.71,3340878,ACGL
62,2023-09-28,81.34,82.11,81.12,81.64,1466568,ACGL
63,2023-09-27,81.25,81.46,80.25,81.08,1686993,ACGL
64,2023-09-26,81.0,82.15,80.93,81.26,1430851,ACGL
65,2023-09-25,80.63,81.35,80.43,81.15,1357984,ACGL
66,2023-09-22,80.29,81.65,80.26,80.96,1559859,ACGL
67,2023-09-21,81.0,81.53,80.26,80.29,1675424,ACGL
68,2023-09-20,81.58,82.18,81.0,81.32,2107271,ACGL
69,2023-09-19,80.65,81.36,80.27,81.2,1572553,ACGL
70,2023-09-18,79.19,80.8375,79.065,80.57,1213994,ACGL
71,2023-09-15,79.02,79.37,78.5951,79.0,1963957,ACGL
72,2023-09-14,78.88,79.335,78.46,79.06,1222103,ACGL
73,2023-09-13,78.82,79.37,78.08,78.33,952429,ACGL
74,2023-09-12,78.92,80.27,78.54,78.8,1167228,ACGL
75,2023-09-11,77.53,78.82,77.53,78.8,1388055,ACGL
76,2023-09-08,77.8,77.84,76.63,77.255,1330114,ACGL
77,2023-09-07,76.33,78.11,76.33,77.87,2216793,ACGL
78,2023-09-06,75.98,77.05,75.7,76.44,922844,ACGL
79,2023-09-05,76.85,77.045,75.68,75.86,1285206,ACGL
80,2023-09-01,77.42,77.73,76.93,77.01,880234,ACGL
81,2023-08-31,77.17,77.34,76.46,76.86,2148521,ACGL
82,2023-08-30,75.97,77.46,75.88,77.09,1779930,ACGL
83,2023-08-29,74.27,76.04,74.0,75.75,2394956,ACGL
84,2023-08-28,74.37,75.44,73.89,74.19,1740338,ACGL
85,2023-08-25,75.47,75.61,74.49,74.62,1262418,ACGL
86,2023-08-24,74.97,76.247,74.9101,75.41,1189784,ACGL
87,2023-08-23,74.52,75.76,74.52,75.4,1316002,ACGL
88,2023-08-22,74.72,75.0,74.3,74.57,854592,ACGL
89,2023-08-21,75.65,75.7,73.74,74.95,1212474,ACGL
90,2023-08-18,73.85,75.85,73.5,75.24,2469395,ACGL
91,2023-08-17,77.58,77.58,74.27,74.29,2223857,ACGL
92,2023-08-16,77.5,77.96,76.85,76.95,1195363,ACGL
93,2023-08-15,76.96,77.62,76.8001,77.36,1563583,ACGL
94,2023-08-14,76.66,77.58,76.035,77.35,1346947,ACGL
95,2023-08-11,76.55,76.78,76.15,76.6,1028138,ACGL
96,2023-08-10,77.31,78.07,76.42,76.58,1048877,ACGL
97,2023-08-09,76.27,77.42,75.85,77.05,1604773,ACGL
98,2023-08-08,77.52,78.18,76.19,76.35,1450310,ACGL
99,2023-08-07,77.57,78.58,77.57,78.23,1570514,ACGL
