,timestamp,open,high,low,close,volume,symbol
0,2023-12-27,221.84,223.35,221.15,223.01,577706,AJG
1,2023-12-26,222.09,222.81,221.17,222.36,775972,AJG
2,2023-12-22,223.2,223.295,221.42,222.88,674013,AJG
3,2023-12-21,219.99,222.96,218.625,222.86,826357,AJG
4,2023-12-20,223.25,223.98,220.1,220.11,1415865,AJG
5,2023-12-19,227.19,228.54,223.871,224.59,1363387,AJG
6,2023-12-18,224.6,228.895,223.8,227.56,1574637,AJG
7,2023-12-15,220.55,225.0,220.36,222.81,2558236,AJG
8,2023-12-14,243.42,246.095,223.12,227.04,3462797,AJG
9,2023-12-13,248.5,248.95,244.63,245.21,871247,AJG
10,2023-12-12,245.0,247.765,244.17,247.59,683448,AJG
11,2023-12-11,242.37,245.38,242.37,245.0,961884,AJG
12,2023-12-08,241.91,242.1,239.66,240.96,863059,AJG
13,2023-12-07,243.15,243.15,239.38,241.05,743997,AJG
14,2023-12-06,245.35,246.22,238.72,242.5,952311,AJG
15,2023-12-05,247.0,247.0,244.5,244.79,729560,AJG
16,2023-12-04,248.1,249.05,247.2251,247.55,696591,AJG
17,2023-12-01,248.4,249.48,247.31,248.0,866053,AJG
18,2023-11-30,244.72,249.27,244.09,249.0,1192841,AJG
19,2023-11-29,246.6,246.97,243.825,245.02,732948,AJG
20,2023-11-28,251.4,252.3174,246.73,246.74,586592,AJG
21,2023-11-27,252.59,254.001,252.115,252.3,924618,AJG
22,2023-11-24,251.78,252.93,251.09,252.92,352758,AJG
23,2023-11-22,248.84,251.59,248.475,250.99,871357,AJG
24,2023-11-21,247.07,249.81,247.07,248.9,729540,AJG
25,2023-11-20,245.32,247.56,244.95,246.56,625769,AJG
26,2023-11-17,246.61,247.33,244.3037,245.45,820831,AJG
27,2023-11-16,241.5,245.74,241.5,245.51,767343,AJG
28,2023-11-15,243.37,245.155,240.0,240.71,1487054,AJG
29,2023-11-14,247.48,248.355,243.97,244.14,1032783,AJG
30,2023-11-13,247.79,249.355,247.55,247.75,540183,AJG
31,2023-11-10,247.0,248.46,245.59,248.27,754165,AJG
32,2023-11-09,246.43,248.54,245.815,246.77,613723,AJG
33,2023-11-08,243.73,246.9075,241.46,245.57,826444,AJG
34,2023-11-07,243.23,244.05,241.88,244.0,986342,AJG
35,2023-11-06,242.92,245.075,242.41,242.97,973075,AJG
